source,layer,name,lat,lon,addendum_json_gbif,addendum_json_georg
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish. Råby, Rimbo",59.79,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7135"",""catalogNumber"":""S10-7135"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Erect annual herb. Flowers greenish-white."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Erect annual herb. Flowers greenish-white."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.79""}","{""locationDisplayLabel"":""Province Uppland, Fasterna parish. Råby, Rimbo"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish. Råby"",""Rimbo""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Lake Gavel-Långsjön, Lindbacken, Rånäs, Stem reddish.",59.80,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7130"",""catalogNumber"":""S10-7130"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Lake Gavel-Långsjön at Lindbacken, NE of Rånäs. In shallow fresh oligotrophic water on sandy soil. Stem reddish. Foliage dark green. Flowers inconspiuous. Anthers pale yellow."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Lake Gavel-Långsjön at Lindbacken, NE of Rånäs. In shallow fresh oligotrophic water on sandy soil. Stem reddish. Foliage dark green. Flowers inconspiuous. Anthers pale yellow."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.80""}","{""locationDisplayLabel"":""Lindbacken, Rånäs, Stem reddish."",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Lake Gavel-Långsjön"",""Lindbacken"",""Rånäs"",""Stem reddish.""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Lake Gavel-Långsjön, Lindbacken, Rånäs, Flowers yellow",59.80,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7131"",""catalogNumber"":""S10-7131"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Lake Gavel-Långsjön at Lindbacken, NE of Rånäs. Shallow fresh oligotrophic water. Growing near the water line on sandy soil. Prostrate perennial, rooting at the nodes. Flowers yellow."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Lake Gavel-Långsjön at Lindbacken, NE of Rånäs. Shallow fresh oligotrophic water. Growing near the water line on sandy soil. Prostrate perennial, rooting at the nodes. Flowers yellow."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.80""}","{""locationDisplayLabel"":""Lindbacken, Rånäs, Flowers yellow"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Lake Gavel-Långsjön"",""Lindbacken"",""Rånäs"",""Flowers yellow""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish. Råby, Rimbo, Annual herb.",59.79,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7132"",""catalogNumber"":""S10-7132"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Annual herb. Flowers pink."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Annual herb. Flowers pink."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.79""}","{""locationDisplayLabel"":""Fasterna parish. Råby, Rimbo, Annual herb."",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish. Råby"",""Rimbo"",""Annual herb.""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish. Råby, Rimbo, Annual",59.79,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7133"",""catalogNumber"":""S10-7133"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Annual, up to 60 cm tall."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Annual, up to 60 cm tall."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.79""}","{""locationDisplayLabel"":""Fasterna parish. Råby, Rimbo, Annual"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish. Råby"",""Rimbo"",""Annual""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish. Råby, Rimbo",59.79,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7134"",""catalogNumber"":""S10-7134"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Twining herb. Flowers inconspicuous, greenish-white."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Twining herb. Flowers inconspicuous, greenish-white."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.79""}","{""locationDisplayLabel"":""Province Uppland, Fasterna parish. Råby, Rimbo"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish. Råby"",""Rimbo""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish. Råby, Rimbo",59.79,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7136"",""catalogNumber"":""S10-7136"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Erect annual herb. Flowers dull red."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. Råby, NW. of Rimbo. Weed in cultivated field with barley. Erect annual herb. Flowers dull red."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.79""}","{""locationDisplayLabel"":""Province Uppland, Fasterna parish. Råby, Rimbo"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish. Råby"",""Rimbo""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Rimbo, Rånäs, Freden, Picea abies",59.78,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7137"",""catalogNumber"":""S10-7137"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo, Rånäs, at cottage Freden. In deciduous forest with Tilia cordata, Corylus avellana, Picea abies, and Dryopteris filix-mas. Entire plant pale yellow."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo, Rånäs, at cottage Freden. In deciduous forest with Tilia cordata, Corylus avellana, Picea abies, and Dryopteris filix-mas. Entire plant pale yellow."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.78""}","{""locationDisplayLabel"":""Rånäs, Freden, Picea abies"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Rimbo"",""Rånäs"",""Freden"",""Picea abies""]}"
GBIF,s-fbo,"Sweden, Uppland, Fasterna parish, North, Rånäs on, Sheet",59.83,18.29,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7142"",""catalogNumber"":""S10-7142"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Prov. Uppland. Fasterna parish, North of Rånäs on road to Varleda. Forest margin. Plants up to 1 m tall. Flowers white. Sheet 2(2)"",""verbatimLocality"":""Sweden. Prov. Uppland. Fasterna parish, North of Rånäs on road to Varleda. Forest margin. Plants up to 1 m tall. Flowers white. Sheet 2(2)"",""decimalLatitude"":""18.29"",""decimalLongitude"":""59.83""}","{""locationDisplayLabel"":""North, Rånäs on, Sheet"",""verbatimTokens"":[""Sweden"",""Uppland"",""Fasterna parish"",""North"",""Rånäs on"",""Sheet""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Freden, Svärlinge, Matforming, Flowers white",59.78,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7129"",""catalogNumber"":""S10-7129"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. On rocky outcrop along old forest road N. of the cottage Freden, S. of Svärlinge. Matforming perennial herb. Foliage reddish, leaves sausage shaped. Flowers white."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. On rocky outcrop along old forest road N. of the cottage Freden, S. of Svärlinge. Matforming perennial herb. Foliage reddish, leaves sausage shaped. Flowers white."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.78""}","{""locationDisplayLabel"":""Svärlinge, Matforming, Flowers white"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Freden"",""Svärlinge"",""Matforming"",""Flowers white""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Freden, Svärlinge",59.77,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7128"",""catalogNumber"":""S10-7128"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. On rocky outcrop along old forest road N. of the cottage Freden, at take of to Svärlinge. Perennial herb. Flowers pale pink."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. On rocky outcrop along old forest road N. of the cottage Freden, at take of to Svärlinge. Perennial herb. Flowers pale pink."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.77""}","{""locationDisplayLabel"":""Fasterna parish, Freden, Svärlinge"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Freden"",""Svärlinge""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish., Freden, Svärlinge, Annual herb. Flowers",59.78,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7126"",""catalogNumber"":""S10-7126"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish. In dry patches along old forest road N. of the cottage Freden, S. of Svärlinge. Annual herb. Flowers inconspicuous, white."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish. In dry patches along old forest road N. of the cottage Freden, S. of Svärlinge. Annual herb. Flowers inconspicuous, white."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.78""}","{""locationDisplayLabel"":""Freden, Svärlinge, Annual herb. Flowers"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish."",""Freden"",""Svärlinge"",""Annual herb. Flowers""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Rimbo, Rånäs, Freden",59.78,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7049"",""catalogNumber"":""S10-7049"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo,Rånäs, at cottage Freden. In rock crevice of granite outcrop. Tufted perennial. Stem base deep down in crevice."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo,Rånäs, at cottage Freden. In rock crevice of granite outcrop. Tufted perennial. Stem base deep down in crevice."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.78""}","{""locationDisplayLabel"":""Rimbo, Rånäs, Freden"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Rimbo"",""Rånäs"",""Freden""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Rimbo, Rånäs, Freden",59.78,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7050"",""catalogNumber"":""S10-7050"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo,Rånäs, at cottage Freden. In small water puddles in dirt track through the forest. Annual herb. Flowers reddish."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo,Rånäs, at cottage Freden. In small water puddles in dirt track through the forest. Annual herb. Flowers reddish."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.78""}","{""locationDisplayLabel"":""Rimbo, Rånäs, Freden"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Rimbo"",""Rånäs"",""Freden""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Fasterna parish, Rimbo, Rånäs, Freden",59.78,18.32,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7051"",""catalogNumber"":""S10-7051"",""higherGeography"":""Europe; Sweden; Uppland; Fasterna"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo,Rånäs, at cottage Freden. In dry sunny meadow. Perennial herb. Flowers yellow."",""verbatimLocality"":""Sweden. Province Uppland. Fasterna parish, ca. 10 km NW of Rimbo,Rånäs, at cottage Freden. In dry sunny meadow. Perennial herb. Flowers yellow."",""decimalLatitude"":""18.32"",""decimalLongitude"":""59.78""}","{""locationDisplayLabel"":""Rimbo, Rånäs, Freden"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Fasterna parish"",""Rimbo"",""Rånäs"",""Freden""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Flowers blue, Berries red.",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7052"",""catalogNumber"":""S10-7052"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground. Perennial herb or subshrub. Flowers blue with yellow anthers. Berries red."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground. Perennial herb or subshrub. Flowers blue with yellow anthers. Berries red."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Vällingby, Flowers blue, Berries red."",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Flowers blue"",""Berries red.""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Johannelund subway station",59.37,17.86,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7053"",""catalogNumber"":""S10-7053"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin near Johannelund subway station. Tufted perennial."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin near Johannelund subway station. Tufted perennial."",""decimalLatitude"":""17.86"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Stockholm, Vällingby, Johannelund subway station"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Johannelund subway station""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7054"",""catalogNumber"":""S10-7054"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Perennial herb. Flowers yellow."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Perennial herb. Flowers yellow."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Annual herb. Flowers white",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7055"",""catalogNumber"":""S10-7055"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In dry open field. Annual herb. Flowers white."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In dry open field. Annual herb. Flowers white."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Stockholm, Vällingby, Annual herb. Flowers white"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Annual herb. Flowers white""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7056"",""catalogNumber"":""S10-7056"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In dry open field. Perennial herb. Flowers white."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In dry open field. Perennial herb. Flowers white."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7057"",""catalogNumber"":""S10-7057"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In margin of dry sandy football field. Flowers green."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In margin of dry sandy football field. Flowers green."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Flowers purple",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7058"",""catalogNumber"":""S10-7058"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Perennial herb, to 1 m tall. Flowers purple."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Perennial herb, to 1 m tall. Flowers purple."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Stockholm, Vällingby, Flowers purple"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Flowers purple""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7059"",""catalogNumber"":""S10-7059"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Perennial herb. Flowers pale yellow with orange lip."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Perennial herb. Flowers pale yellow with orange lip."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7060"",""catalogNumber"":""S10-7060"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Annual or biennial herb. Flowers white."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In forest margin. Annual or biennial herb. Flowers white."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Annual herb. Flowers yellow",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7061"",""catalogNumber"":""S10-7061"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground on open soil. Annual herb. Flowers yellow."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground on open soil. Annual herb. Flowers yellow."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Stockholm, Vällingby, Annual herb. Flowers yellow"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Annual herb. Flowers yellow""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Annual herb. Flowers whitish to",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7062"",""catalogNumber"":""S10-7062"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground on open soil. Annual herb. Flowers whitish to very pale violet."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground on open soil. Annual herb. Flowers whitish to very pale violet."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Stockholm, Vällingby, Annual herb. Flowers whitish to"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Annual herb. Flowers whitish to""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby, Annual herb. Flowers whitish",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7063"",""catalogNumber"":""S10-7063"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground on open soil. Annual herb. Flowers whitish, purple-tipped."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In disturbed ground on open soil. Annual herb. Flowers whitish, purple-tipped."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Stockholm, Vällingby, Annual herb. Flowers whitish"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby"",""Annual herb. Flowers whitish""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7064"",""catalogNumber"":""S10-7064"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In road margin. Perennial herb. Flowers dark violet."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In road margin. Perennial herb. Flowers dark violet."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
GBIF,s-fbo,"Sweden, Province Uppland, Stockholm, Vällingby",59.37,17.85,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S10-7065"",""catalogNumber"":""S10-7065"",""higherGeography"":""Europe; Sweden; Uppland; Vällingby"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Uppland"",""locality"":""Sweden. Province Uppland. Stockholm, Vällingby. In road margin. Perennial or biennial herb. Flowers white."",""verbatimLocality"":""Sweden. Province Uppland. Stockholm, Vällingby. In road margin. Perennial or biennial herb. Flowers white."",""decimalLatitude"":""17.85"",""decimalLongitude"":""59.37""}","{""locationDisplayLabel"":""Province Uppland, Stockholm, Vällingby"",""verbatimTokens"":[""Sweden"",""Province Uppland"",""Stockholm"",""Vällingby""]}"
